"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"09/21/2016","1","I","33,234","7,295"
"09/21/2016","1","O","36,130","7,910"
"09/20/2016","1","I","34,630","7,487"
"09/20/2016","1","O","37,477","8,016"
"09/19/2016","1","I","30,757","7,170"
"09/19/2016","1","O","34,463","7,949"
"09/18/2016","1","I","28,500","9,989"
"09/18/2016","1","O","35,522","11,286"
"09/17/2016","1","I","34,326","11,045"
"09/17/2016","1","O","35,492","11,987"
"09/16/2016","1","I","36,392","8,708"
"09/16/2016","1","O","38,295","9,447"
"09/15/2016","1","I","34,545","7,442"
"09/15/2016","1","O","36,710","8,228"
"09/14/2016","1","I","34,006","7,194"
"09/14/2016","1","O","35,017","7,616"
"09/13/2016","1","I","33,048","7,181"
"09/13/2016","1","O","36,658","7,877"
"09/12/2016","1","I","32,350","7,880"
"09/12/2016","1","O","34,409","8,290"
"09/11/2016","1","I","26,871","9,787"
"09/11/2016","1","O","32,966","10,951"
"09/10/2016","1","I","30,217","10,215"
"09/10/2016","1","O","32,395","11,363"
"09/09/2016","1","I","34,272","8,411"
"09/09/2016","1","O","36,399","9,172"
"09/08/2016","1","I","33,679","7,670"
"09/08/2016","1","O","35,869","8,176"
"09/07/2016","1","I","32,544","7,325"
"09/07/2016","1","O","35,143","7,801"
"09/06/2016","1","I","32,635","7,719"
"09/06/2016","1","O","36,879","8,288"
"09/05/2016","1","I","22,601","8,177"
"09/05/2016","1","O","30,105","9,454"
"09/04/2016","1","I","26,186","10,290"
"09/04/2016","1","O","30,288","11,499"
"09/03/2016","1","I","31,056","11,002"
"09/03/2016","1","O","31,106","12,317"
"09/02/2016","1","I","34,470","8,939"
"09/02/2016","1","O","35,180","9,900"
"09/01/2016","1","I","34,350","7,964"
"09/01/2016","1","O","36,588","8,723"
"08/31/2016","1","I","33,788","8,076"
"08/31/2016","1","O","37,525","8,792"
"08/30/2016","1","I","33,017","7,826"
"08/30/2016","1","O","36,365","8,534"
"08/29/2016","1","I","32,626","8,213"
"08/29/2016","1","O","36,182","8,957"
"08/28/2016","1","I","33,594","12,548"
"08/28/2016","1","O","34,551","12,374"
"08/27/2016","1","I","37,838","12,951"
"08/27/2016","1","O","32,990","12,225"
"08/26/2016","1","I","35,161","9,358"
"08/26/2016","1","O","36,602","10,012"
"08/25/2016","1","I","34,552","8,503"
"08/25/2016","1","O","37,080","8,931"
"08/24/2016","1","I","33,278","8,037"
"08/24/2016","1","O","35,537","8,392"
"08/23/2016","1","I","31,707","7,653"
"08/23/2016","1","O","35,213","8,504"
"08/22/2016","1","I","31,990","8,271"
"08/22/2016","1","O","34,509","8,859"
"08/21/2016","1","I","26,347","10,664"
"08/21/2016","1","O","33,279","11,718"
"08/20/2016","1","I","32,475","11,604"
"08/20/2016","1","O","31,690","12,188"
"08/19/2016","1","I","36,041","9,535"
"08/19/2016","1","O","35,722","9,816"
"08/18/2016","1","I","35,161","8,657"
"08/18/2016","1","O","35,370","8,879"
"08/17/2016","1","I","34,040","8,417"
"08/17/2016","1","O","35,829","8,586"
"08/16/2016","1","I","33,698","8,291"
"08/16/2016","1","O","35,740","8,536"
"08/15/2016","1","I","34,146","8,797"
"08/15/2016","1","O","35,113","9,085"
"08/14/2016","1","I","27,533","10,945"
"08/14/2016","1","O","32,086","11,683"
"08/13/2016","1","I","30,224","10,917"
"08/13/2016","1","O","30,997","11,851"
"08/12/2016","1","I","37,202","9,752"
"08/12/2016","1","O","38,057","10,355"
"08/11/2016","1","I","34,992","8,510"
"08/11/2016","1","O","37,207","9,020"
"08/10/2016","1","I","33,213","7,957"
"08/10/2016","1","O","36,485","8,690"
"08/09/2016","1","I","33,217","8,059"
"08/09/2016","1","O","36,104","8,660"
"08/08/2016","1","I","32,215","8,472"
"08/08/2016","1","O","34,940","8,780"
"08/07/2016","1","I","28,975","11,446"
"08/07/2016","1","O","34,663","12,944"
"08/06/2016","1","I","30,650","11,384"
"08/06/2016","1","O","31,054","12,182"
"08/05/2016","1","I","35,166","9,482"
"08/05/2016","1","O","35,691","10,067"
"08/04/2016","1","I","34,523","8,413"
"08/04/2016","1","O","36,049","8,962"
"08/03/2016","1","I","35,063","8,581"
"08/03/2016","1","O","36,853","8,972"
"08/02/2016","1","I","33,370","8,140"
"08/02/2016","1","O","38,190","9,223"
"08/01/2016","1","I","33,000","8,624"
"08/01/2016","1","O","37,058","9,418"
"07/31/2016","1","I","26,578","10,496"
"07/31/2016","1","O","32,960","11,446"
"07/30/2016","1","I","30,917","11,244"
"07/30/2016","1","O","30,988","12,036"
"07/29/2016","1","I","35,082","9,412"
"07/29/2016","1","O","37,120","10,173"
"07/28/2016","1","I","35,369","8,796"
"07/28/2016","1","O","36,752","8,996"
"07/27/2016","1","I","34,726","8,498"
"07/27/2016","1","O","37,258","8,939"
"07/26/2016","1","I","33,860","8,370"
"07/26/2016","1","O","37,094","8,895"
"07/25/2016","1","I","30,160","7,790"
"07/25/2016","1","O","32,772","8,451"
"07/24/2016","1","I","28,334","11,454"
"07/24/2016","1","O","34,160","12,096"
"07/23/2016","1","I","31,575","11,562"
"07/23/2016","1","O","33,312","12,695"
